SEED,SHOTS,DATASET,MODEL,BACKBONE,AVG ACC
6,8,artgraph,APE,RN50,55.96330275229358
6,8,artgraph,GDA_CLIP,RN50,66.05504587155963
6,8,artgraph,TIMO,RN50,68.50152905198777
6,8,artgraph,TIMO_S,RN50,67.58409785932722
6,16,artgraph,Tip_Adapter,RN50,51.681957186544345
6,16,artgraph,APE,RN50,64.22018348623853
6,16,artgraph,GDA_CLIP,RN50,73.70030581039755
6,16,artgraph,TIMO,RN50,73.39449541284404
6,16,artgraph,TIMO_S,RN50,74.61773700305811
7,1,artgraph,Tip_Adapter,RN50,39.44954128440367
7,1,artgraph,APE,RN50,43.42507645259939
7,1,artgraph,GDA_CLIP,RN50,43.11926605504587
7,1,artgraph,TIMO,RN50,43.42507645259939
7,1,artgraph,TIMO_S,RN50,48.01223241590214
7,2,artgraph,Tip_Adapter,RN50,41.896024464831804
7,2,artgraph,APE,RN50,49.84709480122324
7,2,artgraph,GDA_CLIP,RN50,49.54128440366973
7,2,artgraph,TIMO,RN50,50.15290519877676
7,2,artgraph,TIMO_S,RN50,50.764525993883794
7,4,artgraph,Tip_Adapter,RN50,44.64831804281346
7,4,artgraph,APE,RN50,51.681957186544345
7,4,artgraph,GDA_CLIP,RN50,51.681957186544345
7,4,artgraph,TIMO,RN50,52.599388379204896
7,4,artgraph,TIMO_S,RN50,54.74006116207951
7,8,artgraph,Tip_Adapter,RN50,49.84709480122324
7,8,artgraph,APE,RN50,56.88073394495413
7,8,artgraph,GDA_CLIP,RN50,62.38532110091743
7,8,artgraph,TIMO,RN50,63.608562691131496
7,8,artgraph,TIMO_S,RN50,62.691131498470945
7,16,artgraph,Tip_Adapter,RN50,55.657492354740064
7,16,artgraph,APE,RN50,66.05504587155963
7,16,artgraph,GDA_CLIP,RN50,73.70030581039755
7,16,artgraph,TIMO,RN50,74.61773700305811
7,16,artgraph,TIMO_S,RN50,74.00611620795107
8,1,artgraph,Tip_Adapter,RN50,39.14373088685015
8,1,artgraph,APE,RN50,46.48318042813456
8,1,artgraph,GDA_CLIP,RN50,40.97859327217125
8,1,artgraph,TIMO,RN50,44.64831804281346
8,1,artgraph,TIMO_S,RN50,45.56574923547401
8,2,artgraph,Tip_Adapter,RN50,40.97859327217125
8,2,artgraph,APE,RN50,48.62385321100918
8,2,artgraph,GDA_CLIP,RN50,46.48318042813456
8,2,artgraph,TIMO,RN50,47.400611620795104
8,2,artgraph,TIMO_S,RN50,47.706422018348626
8,4,artgraph,Tip_Adapter,RN50,45.56574923547401
