Model 1,Model 2,Shots,Metric,Model 1 Mean,Model 2 Mean,Difference,t-statistic,p-value,Significant (p<0.05)
TIMO_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,13.547400611620796,25.96330275229358,-12.415902140672783,-10.092690446032694,3.313553508957464e-06,True
TIMO_Custom_FSL4_RN50,GDA_CLIP_RN50,2,ACC,13.547400611620796,47.217125382263,-33.669724770642205,-26.37004932800854,7.834716467400889e-10,True
TIMO_RN50,TIMO_S_Custom_FSL1_RN50,2,ACC,47.88990825688073,13.761467889908257,34.12844036697247,34.89772727513947,6.435977375602204e-11,True
TIMO_RN50,TIMO_S_Custom_FSL4_RN50,2,ACC,47.88990825688073,15.382262996941895,32.50764525993883,33.06661181791142,1.0418340426697085e-10,True
TIMO_RN50,TIMO_S_RN50,2,ACC,47.88990825688073,48.65443425076454,-0.764525993883808,-2.2562131409857047,0.05048808610932389,False
TIMO_RN50,Tip_Adapter_Custom_FSL1_RN50,2,ACC,47.88990825688073,1.1926605504587156,46.69724770642201,103.44785618617524,3.740105160737064e-15,True
TIMO_RN50,Tip_Adapter_Custom_FSL4_RN50,2,ACC,47.88990825688073,1.1926605504587156,46.69724770642201,121.52433488415389,8.786565507619674e-16,True
TIMO_RN50,Tip_Adapter_RN50,2,ACC,47.88990825688073,40.73394495412843,7.155963302752298,14.199940065800993,1.8142081891818464e-07,True
TIMO_RN50,APE_Custom_FSL1_RN50,2,ACC,47.88990825688073,3.5474006116207955,44.342507645259936,73.95221859983754,7.645194802721207e-14,True
TIMO_RN50,APE_Custom_FSL4_RN50,2,ACC,47.88990825688073,3.394495412844037,44.49541284403669,100.53761321558977,4.834287226540294e-15,True
TIMO_RN50,APE_RN50,2,ACC,47.88990825688073,47.09480122324159,0.795107033639141,1.4524358993115287,0.18033553282847545,False
TIMO_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,47.88990825688073,20.948012232415902,26.94189602446483,38.43372745671389,2.714349815091605e-11,True
TIMO_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,47.88990825688073,25.96330275229358,21.92660550458715,21.83897032091642,4.174105381445422e-09,True
TIMO_RN50,GDA_CLIP_RN50,2,ACC,47.88990825688073,47.217125382263,0.6727828746177309,1.0164678209955984,0.33595189520247526,False
TIMO_S_Custom_FSL1_RN50,TIMO_S_Custom_FSL4_RN50,2,ACC,13.761467889908257,15.382262996941895,-1.6207951070336382,-1.3663808140704743,0.20498168501518194,False
TIMO_S_Custom_FSL1_RN50,TIMO_S_RN50,2,ACC,13.761467889908257,48.65443425076454,-34.89296636085628,-42.95900715193032,1.001703247468615e-11,True
TIMO_S_Custom_FSL1_RN50,Tip_Adapter_Custom_FSL1_RN50,2,ACC,13.761467889908257,1.1926605504587156,12.568807339449542,13.76044084398098,2.3804096640659597e-07,True
TIMO_S_Custom_FSL1_RN50,Tip_Adapter_Custom_FSL4_RN50,2,ACC,13.761467889908257,1.1926605504587156,12.568807339449542,14.061386514636705,1.9747346663634253e-07,True
TIMO_S_Custom_FSL1_RN50,Tip_Adapter_RN50,2,ACC,13.761467889908257,40.73394495412843,-26.972477064220175,-31.19207471925886,1.754334479035881e-10,True
TIMO_S_Custom_FSL1_RN50,APE_Custom_FSL1_RN50,2,ACC,13.761467889908257,3.5474006116207955,10.214067278287462,17.327447319845174,3.204602656153823e-08,True
TIMO_S_Custom_FSL1_RN50,APE_Custom_FSL4_RN50,2,ACC,13.761467889908257,3.394495412844037,10.36697247706422,12.306722177260664,6.208550439342833e-07,True
TIMO_S_Custom_FSL1_RN50,APE_RN50,2,ACC,13.761467889908257,47.09480122324159,-33.33333333333333,-29.271195476361836,3.092718155928873e-10,True
TIMO_S_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,13.761467889908257,20.948012232415902,-7.186544342507645,-7.521738558278984,3.6095589968711145e-05,True
TIMO_S_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,13.761467889908257,25.96330275229358,-12.201834862385322,-11.470970199365055,1.12945928471987e-06,True
